id,symbol,name,current_price,market_cap,total_volume,market_cap_change_percentage_24h,ath,atl
bitcoin,BTC,Bitcoin,36992,7.23E+11,18919366592,1.20163,69045,67.81
wrapped-bitcoin,WBTC,Wrapped Bitcoin,36968,6056265750,224887752,1.15006,70643,3139.17
ethereum,ETH,Ethereum,2064.27,2.48E+11,20472831052,-1.58016,4878.26,0.432979
tether,USDT,Tether,1.001,86747659865,43215238174,0.21871,1.32,0.572521
ripple,XRP,XRP,0.672149,36048400478,1786465154,2.232,3.4,0.00268621
solana,SOL,Solana,55.03,23222334328,3819783045,11.56976,259.96,0.500801
cardano,ADA,Cardano,0.38212,13363109206,521201408,1.5919,3.09,0.01925275
dogecoin,DOGE,Dogecoin,0.078,11409239253,1515492821,8.14457,0.731578,8.69E-05
tron,TRX,TRON,0.106177,9416294357,810257489,6.07005,0.231673,0.00180434
chainlink,LINK,Chainlink,15.05,8392335881,1183444412,3.02316,52.7,0.148183
usd-coin,USDC,USDC,1,24178499584,10254673648,0.43973,1.17,0.877647
matic-network,MATIC,Polygon,0.817672,7563804860,569911566,-1.96209,2.92,0.00314376
binancecoin,BNB,BNB,249.73,38434529967,768374940,-1.36109,686.31,0.0398177
polkadot,DOT,Polkadot,5.31,6884609992,343571913,3.81525,54.98,2.7
shiba-inu,SHIB,Shiba Inu,9.42E-06,5579214352,533207433,13.25667,8.62E-05,0.00001
litecoin,LTC,Litecoin,73.4,5425379980,558131612,0.55766,410.26,1.15
dai,DAI,Dai,0.99962,5322634850,202499018,-0.1144,1.22,0.88196
staked-ether,STETH,Lido Staked Ether,2059.32,18458722126,22758979,-1.88549,4829.57,482.9
the-open-network,TON,Toncoin,2.44,5210282457,60891994,-3.77284,5.29,0.519364
avalanche-2,AVAX,Avalanche,14.2,5048948744,665798599,6.49563,144.96,2.8
bitcoin-cash,BCH,Bitcoin Cash,237.11,4637899484,172561843,-1.05042,3785.82,76.93
uniswap,UNI,Uniswap,5.41,4073380044,194689793,2.72568,44.92,1.03
leo-token,LEO,LEO Token,4.1,3803980694,1262893,0.95044,8.14,0.799859
okb,OKB,OKB,61.1,3668901786,26120643,1.18156,63.62,0.580608
stellar,XLM,Stellar,0.125177,3503219994,124453700,2.12534,0.875563,0.00047612
true-usd,TUSD,TrueUSD,0.998125,3333566870,224533313,-0.32673,1.62,0.88355
monero,XMR,Monero,170.94,3099374960,108502532,-0.12893,542.33,0.216177
ethereum-classic,ETC,Ethereum Classic,20.02,2871568798,265374241,-4.53308,167.09,0.615038
crypto-com-chain,CRO,Cronos,0.10502,2765932406,111830561,23.87843,0.965407,0.0121196
cosmos,ATOM,Cosmos Hub,9.13,2663120959,211108705,-1.27243,44.45,1.16
filecoin,FIL,Filecoin,4.61,2159770250,194313113,2.77382,236.84,2.64
hedera-hashgraph,HBAR,Hedera,0.062919,2110712600,80265464,1.58542,0.569229,0.00986111
lido-dao,LDO,Lido DAO,2.28,2025658251,148954169,-6.68497,7.3,0.40615
internet-computer,ICP,Internet Computer,4.39,1971923392,60750438,7.09361,700.65,2.87
kaspa,KAS,Kaspa,0.08927,1918034434,57003232,-0.54189,0.09906,0.00017105
binance-usd,BUSD,BUSD,0.999065,1879889192,4771304456,-0.17511,1.15,0.901127
aptos,APT,Aptos,7.37,1839976014,209239166,-0.31576,19.92,3.08
vechain,VET,VeChain,0.02251623,1637969892,60801117,0.45445,0.280991,0.00191713
quant-network,QNT,Quant,110.75,1607543184,31896959,3.21892,427.42,0.215773
near,NEAR,NEAR Protocol,1.54,1530619309,219397116,6.2178,20.44,0.526762
optimism,OP,Optimism,1.69,1492783560,197649437,-1.05377,3.22,0.402159
injective-protocol,INJ,Injective,17.8,1491716599,212810945,8.85774,24.89,0.657401
arbitrum,ARB,Arbitrum,1.14,1454534785,422660882,-2.44485,8.67,0.744925
aave,AAVE,Aave,96.69,1415503898,197209936,-1.4519,661.69,26.02
mantle,MNT,Mantle,0.454357,1411285593,88772341,-1.24041,0.600075,0.307978
immutable-x,IMX,Immutable,1.06,1322126961,984859126,8.81524,9.52,0.378055
thorchain,RUNE,THORChain,4.29,1261445996,308694631,9.12643,20.87,0.00851264
the-graph,GRT,The Graph,0.134609,1251922014,112736630,2.58515,2.84,0.052051
rocket-pool-eth,RETH,Rocket Pool ETH,2246.52,1203595209,10249784,-1.80335,4814.31,887.26
maker,MKR,Maker,1301.11,1172113304,99404191,-3.10486,6292.31,168.36
elrond-erd-2,EGLD,MultiversX,43.5,1143489812,83802979,3.2015,545.64,6.51
algorand,ALGO,Algorand,0.13136,1051358490,59240941,5.69439,3.56,0.087513
theta-token,THETA,Theta Network,1.017,1020948038,54046587,4.36586,15.72,0.04039979
bitcoin-cash-sv,BSV,Bitcoin SV,49.94,975440819,93417868,0.81514,489.75,21.43
blockstack,STX,Stacks,0.68211,969055427,50942165,0.26595,3.39,0.04559639
neo,NEO,NEO,13.04,919920894,241165875,-9.24368,198.38,0.078349
render-token,RNDR,Render,2.43,907514041,88116415,8.71599,8.78,0.03665669
havven,SNX,Synthetix Network,2.65,864179689,56295995,-0.90354,28.53,0.0347864
the-sandbox,SAND,The Sandbox,0.414045,858546618,89712798,0.62045,8.4,0.02897764
fantom,FTM,Fantom,0.297174,833283202,181064610,9.50237,3.46,0.00190227
